"","Date","Day","Latitude","Longitude","StartDateTime","EndDateTime"
"80",2014-12-19,"Friday",45.378163,-75.75213,2014-12-19 08:00:00,2014-12-19 17:00:00
"81",2014-12-20,"Saturday",45.378163,-75.75213,2014-12-20 08:00:00,2014-12-20 17:00:00
"82",2014-12-21,"Sunday",45.378163,-75.75213,2014-12-21 08:00:00,2014-12-21 17:00:00
"83",2014-12-22,"Monday",45.378163,-75.75213,2014-12-22 08:00:00,2014-12-22 17:00:00
"84",2014-12-23,"Tuesday",45.378163,-75.75213,2014-12-23 08:00:00,2014-12-23 17:00:00
"85",2014-12-24,"Wednesday",45.378163,-75.75213,2014-12-24 08:00:00,2014-12-24 17:00:00
"86",2014-12-25,"Thursday",45.378163,-75.75213,2014-12-25 08:00:00,2014-12-25 17:00:00
"87",2014-12-26,"Friday",45.378163,-75.75213,2014-12-26 08:00:00,2014-12-26 17:00:00
"88",2014-12-27,"Saturday",45.378163,-75.75213,2014-12-27 08:00:00,2014-12-27 17:00:00
"89",2014-12-28,"Sunday",45.378163,-75.75213,2014-12-28 08:00:00,2014-12-28 17:00:00
"90",2014-12-29,"Monday",45.378163,-75.75213,2014-12-29 08:00:00,2014-12-29 17:00:00
"91",2014-12-30,"Tuesday",45.378163,-75.75213,2014-12-30 08:00:00,2014-12-30 17:00:00
"92",2014-12-31,"Wednesday",45.378163,-75.75213,2014-12-31 08:00:00,2014-12-31 17:00:00
"93",2015-01-01,"Thursday",45.378163,-75.75213,2015-01-01 08:00:00,2015-01-01 17:00:00
"94",2015-01-02,"Friday",45.378163,-75.75213,2015-01-02 08:00:00,2015-01-02 17:00:00
"95",2015-01-03,"Saturday",45.378163,-75.75213,2015-01-03 08:00:00,2015-01-03 17:00:00
"96",2015-01-04,"Sunday",45.378163,-75.75213,2015-01-04 08:00:00,2015-01-04 17:00:00
"97",2015-01-05,"Monday",45.378163,-75.75213,2015-01-05 08:00:00,2015-01-05 17:00:00
"98",2015-01-06,"Tuesday",45.378163,-75.75213,2015-01-06 08:00:00,2015-01-06 17:00:00
"99",2015-01-07,"Wednesday",45.378163,-75.75213,2015-01-07 08:00:00,2015-01-07 17:00:00
"100",2015-01-08,"Thursday",45.378163,-75.75213,2015-01-08 08:00:00,2015-01-08 17:00:00
"101",2015-01-09,"Friday",45.378163,-75.75213,2015-01-09 08:00:00,2015-01-09 17:00:00
"102",2015-01-10,"Saturday",45.378163,-75.75213,2015-01-10 08:00:00,2015-01-10 17:00:00
"103",2015-01-11,"Sunday",45.378163,-75.75213,2015-01-11 08:00:00,2015-01-11 17:00:00
"104",2015-01-12,"Monday",45.378163,-75.75213,2015-01-12 08:00:00,2015-01-12 17:00:00
"105",2015-01-13,"Tuesday",45.378163,-75.75213,2015-01-13 08:00:00,2015-01-13 17:00:00
"106",2015-01-14,"Wednesday",45.378163,-75.75213,2015-01-14 08:00:00,2015-01-14 17:00:00
"107",2015-01-15,"Thursday",45.378163,-75.75213,2015-01-15 08:00:00,2015-01-15 17:00:00
"108",2015-01-16,"Friday",45.378163,-75.75213,2015-01-16 08:00:00,2015-01-16 17:00:00
"109",2015-01-17,"Saturday",45.378163,-75.75213,2015-01-17 08:00:00,2015-01-17 17:00:00
"110",2015-01-18,"Sunday",45.378163,-75.75213,2015-01-18 08:00:00,2015-01-18 17:00:00
"111",2015-01-19,"Monday",45.378163,-75.75213,2015-01-19 08:00:00,2015-01-19 17:00:00
"112",2015-01-20,"Tuesday",45.378163,-75.75213,2015-01-20 08:00:00,2015-01-20 17:00:00
"113",2015-01-21,"Wednesday",45.378163,-75.75213,2015-01-21 08:00:00,2015-01-21 17:00:00
"114",2015-01-22,"Thursday",45.378163,-75.75213,2015-01-22 08:00:00,2015-01-22 17:00:00
"115",2015-01-23,"Friday",45.378163,-75.75213,2015-01-23 08:00:00,2015-01-23 17:00:00
"116",2015-01-24,"Saturday",45.378163,-75.75213,2015-01-24 08:00:00,2015-01-24 17:00:00
"117",2015-01-25,"Sunday",45.378163,-75.75213,2015-01-25 08:00:00,2015-01-25 17:00:00
"118",2015-01-26,"Monday",45.378163,-75.75213,2015-01-26 08:00:00,2015-01-26 17:00:00
"119",2015-01-27,"Tuesday",45.378163,-75.75213,2015-01-27 08:00:00,2015-01-27 17:00:00
"120",2015-01-28,"Wednesday",45.378163,-75.75213,2015-01-28 08:00:00,2015-01-28 17:00:00
"121",2015-01-29,"Thursday",45.378163,-75.75213,2015-01-29 08:00:00,2015-01-29 17:00:00
"122",2015-01-30,"Friday",45.378163,-75.75213,2015-01-30 08:00:00,2015-01-30 17:00:00
"123",2015-01-31,"Saturday",45.378163,-75.75213,2015-01-31 08:00:00,2015-01-31 17:00:00
"124",2015-02-01,"Sunday",45.378163,-75.75213,2015-02-01 08:00:00,2015-02-01 17:00:00
"125",2015-02-02,"Monday",45.378163,-75.75213,2015-02-02 08:00:00,2015-02-02 17:00:00
"126",2015-02-03,"Tuesday",45.378163,-75.75213,2015-02-03 08:00:00,2015-02-03 17:00:00
"127",2015-02-04,"Wednesday",45.378163,-75.75213,2015-02-04 08:00:00,2015-02-04 17:00:00
"128",2015-02-05,"Thursday",45.378163,-75.75213,2015-02-05 08:00:00,2015-02-05 17:00:00
"129",2015-02-06,"Friday",45.378163,-75.75213,2015-02-06 08:00:00,2015-02-06 17:00:00
"130",2015-02-07,"Saturday",45.378163,-75.75213,2015-02-07 08:00:00,2015-02-07 17:00:00
"131",2015-02-08,"Sunday",45.378163,-75.75213,2015-02-08 08:00:00,2015-02-08 17:00:00
"132",2015-02-09,"Monday",45.378163,-75.75213,2015-02-09 08:00:00,2015-02-09 17:00:00
"133",2015-02-10,"Tuesday",45.378163,-75.75213,2015-02-10 08:00:00,2015-02-10 17:00:00
"134",2015-02-11,"Wednesday",45.378163,-75.75213,2015-02-11 08:00:00,2015-02-11 17:00:00
"135",2015-02-12,"Thursday",45.378163,-75.75213,2015-02-12 08:00:00,2015-02-12 17:00:00
"136",2015-02-13,"Friday",45.378163,-75.75213,2015-02-13 08:00:00,2015-02-13 17:00:00
"137",2015-02-14,"Saturday",45.378163,-75.75213,2015-02-14 08:00:00,2015-02-14 17:00:00
